
533,  8	a0,f6	Gen_FilterFc
534, 22	db,e0	Gen_VolEnvAttack
535, 30	6e,0	Gen_Attenuation
536, 34	32,0	Gen_FineTune
537, 29	aa,0	Gen_Instrument
538, 2b	4c,4c	Gen_KeyRange
539, 2c	73,7f	Gen_VelRange
540, 22	db,e0	Gen_VolEnvAttack
541, 34	32,0	Gen_FineTune
542, 29	aa,0	Gen_Instrument
543, 2b	4d,4d	Gen_KeyRange
544, 2c	66,7f	Gen_VelRange
545, 33	fb,ff	Gen_CoarseTune
546, 29	35,1	Gen_Instrument
547, 2b	4d,4d	Gen_KeyRange
548, 2c	56,65	Gen_VelRange
549,  8	dc,f7	Gen_FilterFc
550, 33	fb,ff	Gen_CoarseTune
551, 29	35,1	Gen_Instrument
552, 2b	4d,4d	Gen_KeyRange
553, 2c	47,55	Gen_VelRange
554,  8	6e,f0	Gen_FilterFc
555, 33	fb,ff	Gen_CoarseTune
556, 29	35,1	Gen_Instrument
557, 2b	4d,4d	Gen_KeyRange
558, 2c	0,46	Gen_VelRange
559,  8	6e,f0	Gen_FilterFc
560,  b	34,fe	Gen_ModEnv2FilterFc
561, 33	fb,ff	Gen_CoarseTune
562, 29	35,1	Gen_Instrument
563, 2b	4d,4d	Gen_KeyRange
564, 2c	0,65	Gen_VelRange
565,  8	50,fb	Gen_FilterFc
566, 30	96,0	Gen_Attenuation
567, 33	fb,ff	Gen_CoarseTune
568, 29	aa,0	Gen_Instrument
569, 2b	4d,4d	Gen_KeyRange
570, 2c	66,72	Gen_VelRange
571,  8	a0,f6	Gen_FilterFc
572, 22	db,e0	Gen_VolEnvAttack
573, 30	6e,0	Gen_Attenuation
574, 33	fb,ff	Gen_CoarseTune
575, 29	aa,0	Gen_Instrument
576, 2b	4d,4d	Gen_KeyRange
577, 2c	73,7f	Gen_VelRange
578, 22	db,e0	Gen_VolEnvAttack
579, 33	fb,ff	Gen_CoarseTune
580, 29	aa,0	Gen_Instrument
581,  8	b0,4	Gen_FilterFc
582, 11	fa,fe	Gen_Pan
583, 30	b4,0	Gen_Attenuation
584, 29	39,0	Gen_Instrument
585, 2b	0,25	Gen_KeyRange
586, 29	55,0	Gen_Instrument
587, 2b	1f,22	Gen_KeyRange
588, 29	56,0	Gen_Instrument
589, 2b	36,7f	Gen_KeyRange
590, 29	56,0	Gen_Instrument
591, 2b	36,7f	Gen_KeyRange
592, 29	55,0	Gen_Instrument
593, 2b	3b,3b	Gen_KeyRange
594, 11	b1,0	Gen_Pan
595, 30	1e,0	Gen_Attenuation
596, 29	38,0	Gen_Instrument
597,  8	b0,4	Gen_FilterFc
598, 11	fa,fd	Gen_Pan
599, 30	88,ff	Gen_Attenuation
600, 33	fe,ff	Gen_CoarseTune
601, 29	60,0	Gen_Instrument
602, 30	88,ff	Gen_Attenuation
603, 29	5c,0	Gen_Instrument
604, 11	dd,fe	Gen_Pan
605, 30	ba,ff	Gen_Attenuation
606, 29	37,0	Gen_Instrument
607, 30	ec,ff	Gen_Attenuation
608, 29	36,0	Gen_Instrument
609, 2b	27,27	Gen_KeyRange
610, 11	0,1	Gen_Pan
611, 30	1e,0	Gen_Attenuation
612, 33	9,0	Gen_CoarseTune
613, 34	ce,ff	Gen_FineTune
614, 29	99,0	Gen_Instrument
615, 2b	26,26	Gen_KeyRange
616,  8	be,2	Gen_FilterFc
617, 29	35,0	Gen_Instrument
618, 2b	28,28	Gen_KeyRange
619,  8	be,2	Gen_FilterFc
620, 33	fe,ff	Gen_CoarseTune
621, 29	35,0	Gen_Instrument
622, 29	52,0	Gen_Instrument
623, 33	fb,ff	Gen_CoarseTune
624, 29	50,0	Gen_Instrument
625, 29	5a,0	Gen_Instrument
626, 29	51,0	Gen_Instrument
627, 10	1e,0	Gen_ReverbSend
628,  8	b0,4	Gen_FilterFc
629, 30	88,ff	Gen_Attenuation
630, 29	61,0	Gen_Instrument
631,  8	b0,4	Gen_FilterFc
632, 30	88,ff	Gen_Attenuation
633, 29	60,0	Gen_Instrument
634, 30	ba,ff	Gen_Attenuation
635, 29	5f,0	Gen_Instrument
636, 30	ba,ff	Gen_Attenuation
637, 29	5e,0	Gen_Instrument
638, 30	ba,ff	Gen_Attenuation
639, 29	5d,0	Gen_Instrument
640, 30	88,ff	Gen_Attenuation
641, 29	5c,0	Gen_Instrument
642, 29	5a,0	Gen_Instrument
643, 2b	43,43	Gen_KeyRange
644, 2c	65,7f	Gen_VelRange
645, 22	db,e0	Gen_VolEnvAttack
646, 28	cb,ff	Gen_Key2VolEnvDecay
647, 33	a,0	Gen_CoarseTune
648, 29	b2,0	Gen_Instrument
649, 2b	43,43	Gen_KeyRange
650, 2c	42,64	Gen_VelRange
651,  8	ce,f9	Gen_FilterFc
652, 22	db,e0	Gen_VolEnvAttack
653, 28	cb,ff	Gen_Key2VolEnvDecay
654, 33	a,0	Gen_CoarseTune
655, 29	b2,0	Gen_Instrument
656, 2b	43,43	Gen_KeyRange
657, 2c	0,41	Gen_VelRange
658,  8	1e,f5	Gen_FilterFc
659, 22	db,e0	Gen_VolEnvAttack
660, 28	cb,ff	Gen_Key2VolEnvDecay
661, 33	a,0	Gen_CoarseTune
662, 29	b2,0	Gen_Instrument
663, 2b	44,44	Gen_KeyRange
664, 2c	65,7f	Gen_VelRange
665, 22	db,e0	Gen_VolEnvAttack
666, 28	cb,ff	Gen_Key2VolEnvDecay
667, 33	4,0	Gen_CoarseTune
668, 29	b2,0	Gen_Instrument
669, 2b	44,44	Gen_KeyRange
670, 2c	42,64	Gen_VelRange
671,  8	ce,f9	Gen_FilterFc
672, 22	db,e0	Gen_VolEnvAttack
673, 28	cb,ff	Gen_Key2VolEnvDecay
674, 33	4,0	Gen_CoarseTune
675, 29	b2,0	Gen_Instrument
676, 2b	44,44	Gen_KeyRange
677, 2c	0,41	Gen_VelRange
678,  8	1e,f5	Gen_FilterFc
